股票代码,股票名称,市场板块,所属级别,形态名称,形态英文,信号方向,出现日期,信号强度,放量倍数,现价,涨跌幅%,近一年涨停次数,多级别共振
603230,内蒙新华,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,98.9,0.71,9.01,5.38,0,是
002465,海格通信,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86.9,0.6,10,5.37,6,否
002566,益盛药业,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.99,6.48,5.37,2,否
002727,一心堂,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,3.74,11.97,5.37,1,否
300057,万顺新材,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,95.4,0.46,6.08,5.37,0,是
300791,仙乐健康,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.63,17.86,5.37,0,是
600207,安彩高科,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.4,4.12,5.37,6,是
601108,财通证券,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.64,8.83,5.37,1,否
603161,科华控股,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-12,100,2.19,16.68,5.37,6,是
605066,天正电气,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.39,6.47,5.37,1,是
002589,瑞康医药,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,84.3,0.54,2.75,5.36,10,否
000068,华控赛格,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.56,2.76,5.34,5,是
002067,景兴纸业,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,100,1.17,4.14,5.34,10,是
600973,宝胜股份,上证,周线,启明星,Morning Star,看涨,2026-07-31,99.5,0.46,5.92,5.34,4,否
000899,赣能股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.59,10.87,5.33,6,是
002773,康弘药业,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.67,21.54,5.33,2,是
300070,碧水源,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.9,3.56,5.33,0,是
002225,濮耐股份,深证,周线,启明星,Morning Star,看涨,2026-08-07,100,0.52,3.76,5.32,2,是
002290,禾盛新材,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-12,100,0.74,62.36,5.32,10,否
688589,力合微,科创,周线,启明星,Morning Star,看涨,2026-08-07,100,0.96,18.01,5.32,1,是
000420,吉林化纤,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.35,3.77,5.31,3,否
000420,吉林化纤,深证,周线,启明星,Morning Star,看涨,2026-07-31,100,0.35,3.77,5.31,3,否
002442,龙星科技,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,90,0.4,4.76,5.31,6,否
000620,盈新发展,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,0.65,2.78,5.3,28,是
002309,中利集团,深证,周线,启明星,Morning Star,看涨,2026-07-24,100,0.93,2.78,5.3,17,否
603980,吉华集团,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.56,6.95,5.3,6,是
688627,精智达,科创,日线,启明星,Morning Star,看涨,2026-08-13,100,1.33,482.56,5.3,2,否
001285,瑞立科密,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.75,41.41,5.29,0,否
002165,红 宝 丽,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,99,1.22,6.97,5.29,13,否
300370,安控科技,创业,月线,启明星,Morning Star,看涨,2026-08-14,100,0.29,2.19,5.29,0,是
603527,众源新材,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,82,0.36,9.15,5.29,5,否
603787,新日股份,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.33,9.75,5.29,2,是
001222,源飞宠物,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,3.45,14.75,5.28,2,是
001379,腾达科技,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,85.4,0.8,14.95,5.28,4,否
003013,地铁设计,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-12,87.7,0.85,18.39,5.27,1,是
300024,机器人,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,99.1,0.73,15.37,5.27,0,是
600338,西藏珠峰,上证,周线,启明星,Morning Star,看涨,2026-07-31,100,0.6,12.8,5.26,4,否
600467,好当家,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.74,2.2,5.26,2,是
603367,辰欣药业,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-12,100,1.41,15.4,5.26,4,是
300496,中科创达,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.91,60.38,5.25,0,否
600558,大西洋,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.35,5.01,5.25,1,是
603323,苏农银行,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.53,4.41,5.25,0,否
002339,积成电子,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,87.6,1.11,6.83,5.24,10,否
002494,华斯股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,99.5,1.03,4.42,5.24,0,是
002614,奥佳华,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,100,2.27,5.02,5.24,2,是
002832,比音勒芬,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,93.6,1.27,25.91,5.24,1,是
301311,昆船智能,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.49,13.45,5.24,0,是
603214,爱婴室,上证,月线,启明星,Morning Star,看涨,2026-08-14,100,0.18,13.66,5.24,0,否
603363,傲农生物,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.42,2.81,5.24,7,是
603658,安图生物,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,98,1.27,33.11,5.24,0,否
002044,美年健康,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.56,5.03,5.23,8,是
603903,中持股份,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,100,0.63,13.08,5.23,11,是
600212,绿能慧充,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.19,5.44,5.22,0,是
600518,康美药业,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.7,1.41,5.22,0,是
603370,华新精科,上证,周线,启明星,Morning Star,看涨,2026-08-07,100,0.94,34.25,5.22,2,是
002201,九鼎新材,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.4,7.67,5.21,13,是
002395,双象股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,99.5,0.38,11.91,5.21,2,是
002418,康盛股份,深证,周线,启明星,Morning Star,看涨,2026-07-31,94.8,0.37,3.43,5.21,15,否
002422,科伦药业,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-05-29,100,0.93,36.37,5.21,2,否
600576,祥源文旅,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.56,5.65,5.21,4,是
000050,深天马Ａ,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.72,6.47,5.2,1,是
000972,中基健康,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,1.08,3.44,5.2,2,是
301022,海泰科,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.2,23.07,5.2,2,是
002088,鲁阳节能,深证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,2.09,7.9,5.19,4,是
301269,华大九天,创业,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-11,100,1.19,97.96,5.19,0,是
603610,麒盛科技,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.16,13.18,5.19,11,是
001323,慕思股份,深证,月线,启明星,Morning Star,看涨,2026-08-14,100,1.49,18.67,5.18,1,是
301287,康力源,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,87.1,0.62,33.08,5.18,0,否
601908,京运通,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-12,100,2.63,3.25,5.18,7,是
600116,三峡水利,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-05-29,100,1.96,6.92,5.17,0,是
600173,卧龙新能,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,83.5,0.84,5.9,5.17,11,否
600292,电投水电,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,92.6,0.62,12.62,5.17,4,否
600807,济高发展,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.69,2.44,5.17,2,是
000890,法尔胜,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.28,6.73,5.16,23,是
002556,辉隆股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.58,4.89,5.16,0,否
688825,长鑫科技,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.46,55.18,5.14,0,否
000695,滨海能源,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,100,0.61,12.91,5.13,10,否
603577,汇金通,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-17,83.8,1,9.83,5.13,3,否
000783,长江证券,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,0.76,9.04,5.12,5,否
600801,华新建材,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,100,0.88,24.02,5.12,2,是
601908,京运通,上证,周线,启明星,Morning Star,看涨,2026-07-31,100,0.35,3.08,5.12,7,是
688236,春立医疗,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.43,14.99,5.12,0,否
000557,西部创业,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,99.4,0.83,3.7,5.11,0,是
000635,英 力 特,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.59,6.17,5.11,3,否
000922,佳电股份,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,90.5,0.74,10.9,5.11,2,否
300206,理邦仪器,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.24,12.34,5.11,0,是
600019,宝钢股份,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-17,100,0.92,5.76,5.11,0,是
603210,泰鸿万立,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,86.4,0.79,13.58,5.11,2,否
000915,华特达因,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,90,0.94,25.99,5.1,0,否
301199,迈赫股份,创业,周线,启明星,Morning Star,看涨,2026-08-07,100,0.73,18.54,5.1,1,否
688259,创耀科技,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,93.9,0.98,39.12,5.1,0,否
300337,银邦股份,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,84.2,0.5,9.29,5.09,1,否
600561,江西长运,上证,日线,看涨吞没,Bullish Engulfing,看涨,2026-08-10,100,1.18,5.78,5.09,0,是
000012,南 玻Ａ,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.52,3.93,5.08,6,是
002033,丽江股份,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.91,8.68,5.08,2,是
301048,金鹰重工,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,0.5,8.89,5.08,1,是
301061,匠心家居,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-24,100,1.67,35.19,5.08,0,否
